id	code	symbol	name	rootShape	handCommands	activeFingers	fingerShapeCommands
262145	0x40001	񀀁	HAND-FIST INDEX	FIST		INDEX		
262241	0x40061	񀁡	HAND-CIRCLE INDEX	CIRCLE		INDEX		
262337	0x400c1	񀃁	HAND-CUP INDEX	CUP		INDEX		
262433	0x40121	񀄡	HAND-OVAL INDEX	OVAL		INDEX		
262529	0x40181	񀆁	HAND-HINGE INDEX	HINGE		INDEX		
262625	0x401e1	񀇡	HAND-ANGLE INDEX	ANGLE		INDEX		
262721	0x40241	񀉁	HAND-FIST INDEX BENT	FIST		INDEX	INDEX:BENT	
262817	0x402a1	񀊡	HAND-CIRCLE INDEX BENT	CIRCLE		INDEX	INDEX:BENT	
262913	0x40301	񀌁	HAND-FIST THUMB UNDER INDEX BENT	FIST		THUMB,INDEX	INDEX:BENT	MOVE(THUMB-->UNDER:INDEX)
263009	0x40361	񀍡	HAND-FIST INDEX RAISED KNUCKLE	FIST		INDEX	INDEX:RAISED_KNUCKLE	
263105	0x403c1	񀏁	HAND-FIST INDEX CUPPED	FIST		INDEX	INDEX:CUPPED	
263201	0x40421	񀐡	HAND-FIST INDEX HINGED	FIST		INDEX	INDEX:HINGED	
263297	0x40481	񀒁	HAND-FIST INDEX HINGED LOW	FIST		INDEX	INDEX:HINGED_LOW	
263393	0x404e1	񀓡	HAND-CIRCLE INDEX HINGE	CIRCLE		INDEX	INDEX:HINGED	
263489	0x40541	񀕁	HAND-FIST INDEX MIDDLE	FIST		INDEX,MIDDLE		
263585	0x405a1	񀖡	HAND-CIRCLE INDEX MIDDLE	CIRCLE		INDEX,MIDDLE		
263681	0x40601	񀘁	HAND-FIST INDEX MIDDLE BENT	FIST		INDEX,MIDDLE	INDEX:BENT,MIDDLE:BENT	
263777	0x40661	񀙡	HAND-FIST INDEX MIDDLE RAISED KNUCKLES	FIST		INDEX,MIDDLE	INDEX:RAISED_KNUCKLE,MIDDLE:RAISED_KNUCKLE	
263873	0x406c1	񀛁	HAND-FIST INDEX MIDDLE HINGED	FIST		INDEX,MIDDLE	INDEX:HINGED,MIDDLE:HINGED	
263969	0x40721	񀜡	HAND-FIST INDEX UP MIDDLE HINGED	FIST		INDEX,MIDDLE	INDEX:UP,MIDDLE:HINGED	
264065	0x40781	񀞁	HAND-FIST INDEX HINGED MIDDLE UP	FIST		INDEX,MIDDLE	INDEX:HINGED,MIDDLE:UP	
264161	0x407e1	񀟡	HAND-FIST INDEX MIDDLE CONJOINED	FIST		INDEX,MIDDLE		GROUP(CONJOINED:INDEX|MIDDLE)
264257	0x40841	񀡁	HAND-FIST INDEX MIDDLE CONJOINED INDEX BENT	FIST		INDEX,MIDDLE,INDEX	INDEX:BENT	GROUP(CONJOINED:INDEX|MIDDLE)
264353	0x408a1	񀢡	HAND-FIST INDEX MIDDLE CONJOINED MIDDLE BENT	FIST		INDEX,MIDDLE,MIDDLE	MIDDLE:BENT	GROUP(CONJOINED:INDEX|MIDDLE)
264449	0x40901	񀤁	HAND-FIST INDEX MIDDLE CONJOINED CUPPED	FIST		INDEX,MIDDLE	INDEX:CUPPED,MIDDLE:CUPPED	GROUP(CONJOINED:INDEX|MIDDLE)
264545	0x40961	񀥡	HAND-FIST INDEX MIDDLE CONJOINED HINGED	FIST		INDEX,MIDDLE	INDEX:HINGED,MIDDLE:HINGED	GROUP(CONJOINED:INDEX|MIDDLE)
264641	0x409c1	񀧁	HAND-FIST INDEX MIDDLE CROSSED	FIST		INDEX,MIDDLE		CROSS(INDEX:MIDDLE)
264737	0x40a21	񀨡	HAND-CIRCLE INDEX MIDDLE CROSSED	CIRCLE		INDEX,MIDDLE		CROSS(INDEX:MIDDLE)
264833	0x40a81	񀪁	HAND-FIST MIDDLE BENT OVER INDEX	FIST		MIDDLE,INDEX	MIDDLE:BENT	MOVE(MIDDLE-->OVER:INDEX)
264929	0x40ae1	񀫡	HAND-FIST INDEX BENT OVER MIDDLE	FIST		INDEX,MIDDLE	INDEX:BENT	MOVE(INDEX-->OVER:MIDDLE)
265025	0x40b41	񀭁	HAND-FIST INDEX MIDDLE THUMB	FIST		INDEX,MIDDLE,THUMB		
265121	0x40ba1	񀮡	HAND-CIRCLE INDEX MIDDLE THUMB	CIRCLE		INDEX,MIDDLE,THUMB		
265217	0x40c01	񀰁	HAND-FIST INDEX MIDDLE STRAIGHT THUMB BENT	FIST		INDEX,MIDDLE,THUMB	INDEX:STRAIGHT,MIDDLE:STRAIGHT,THUMB:BENT	
265313	0x40c61	񀱡	HAND-FIST INDEX MIDDLE BENT THUMB STRAIGHT	FIST		INDEX,MIDDLE,THUMB	INDEX:BENT,MIDDLE:BENT,THUMB:STRAIGHT	
265409	0x40cc1	񀳁	HAND-FIST INDEX MIDDLE THUMB BENT	FIST		INDEX,MIDDLE,THUMB	INDEX:BENT,MIDDLE:BENT,THUMB:BENT	
265505	0x40d21	񀴡	HAND-FIST INDEX MIDDLE HINGED SPREAD THUMB SIDE	FIST	SPREAD	INDEX,MIDDLE,THUMB	INDEX:HINGED,MIDDLE:HINGED,THUMB:SIDE	
265601	0x40d81	񀶁	HAND-FIST INDEX UP MIDDLE HINGED THUMB SIDE	FIST		INDEX,MIDDLE,THUMB	INDEX:UP,MIDDLE:HINGED,THUMB:SIDE	
265697	0x40de1	񀷡	HAND-FIST INDEX UP MIDDLE HINGED THUMB CONJOINED	FIST		INDEX,MIDDLE,THUMB	INDEX:UP,MIDDLE:HINGED	GROUP(CONJOINED:THUMB|PALM)
265793	0x40e41	񀹁	HAND-FIST INDEX HINGED MIDDLE UP THUMB SIDE	FIST		INDEX,MIDDLE,THUMB	INDEX:HINGED,MIDDLE:UP,THUMB:SIDE	
265889	0x40ea1	񀺡	HAND-FIST INDEX MIDDLE UP SPREAD THUMB FORWARD	FIST	SPREAD	INDEX,MIDDLE,THUMB	INDEX:UP,MIDDLE:UP,THUMB:FORWARD	
265985	0x40f01	񀼁	HAND-FIST INDEX MIDDLE THUMB CUPPED	FIST		INDEX,MIDDLE,THUMB	INDEX:CUPPED,MIDDLE:CUPPED,THUMB:CUPPED	
266081	0x40f61	񀽡	HAND-FIST INDEX MIDDLE THUMB CIRCLED	FIST		INDEX,MIDDLE,THUMB		GROUP(CIRCLED:INDEX|MIDDLE|THUMB)
266177	0x40fc1	񀿁	HAND-FIST INDEX MIDDLE THUMB HOOKED	FIST		INDEX,MIDDLE,THUMB		GROUP(HOOKED:INDEX|MIDDLE|THUMB)
266273	0x41021	񁀡	HAND-FIST INDEX MIDDLE THUMB HINGED	FIST		INDEX,MIDDLE,THUMB	INDEX:HINGED,MIDDLE:HINGED,THUMB:HINGED	
266369	0x41081	񁂁	HAND-FIST THUMB BETWEEN INDEX MIDDLE STRAIGHT	FIST		THUMB,INDEX,MIDDLE	INDEX:STRAIGHT,MIDDLE:STRAIGHT	MOVE(THUMB-->BETWEEN:INDEX|MIDDLE)
266465	0x410e1	񁃡	HAND-FIST INDEX MIDDLE CONJOINED THUMB SIDE	FIST		INDEX,MIDDLE,THUMB	THUMB:SIDE	GROUP(CONJOINED:INDEX|MIDDLE)
266561	0x41141	񁅁	HAND-FIST INDEX MIDDLE CONJOINED THUMB SIDE CONJOINED	FIST		INDEX,MIDDLE,THUMB	THUMB:SIDE	GROUP(CONJOINED:INDEX|MIDDLE),GROUP(CONJOINED:THUMB|PALM)
266657	0x411a1	񁆡	HAND-FIST INDEX MIDDLE CONJOINED THUMB SIDE BENT	FIST		INDEX,MIDDLE,THUMB	THUMB:SIDE,THUMB:BENT	GROUP(CONJOINED:INDEX|MIDDLE)
266753	0x41201	񁈁	HAND-FIST MIDDLE THUMB HOOKED INDEX UP	FIST		MIDDLE,THUMB,INDEX	INDEX:UP	GROUP(HOOKED:MIDDLE|THUMB)
266849	0x41261	񁉡	HAND-FIST INDEX THUMB HOOKED MIDDLE UP	FIST		INDEX,THUMB,MIDDLE	MIDDLE:UP	GROUP(HOOKED:INDEX|THUMB)
